خطاب	خطاب
مؤمنين ني جماعة!	مؤمنين ني جماعة!
اسس الله سبحانه نا كتاب كريم كه جه كتاب ني شان ما خدا تعالى فرماوسس ؛	اے االله سبحاuni064606BE.liga.init.medi uni06460627.isol كuni062A0627.isolب كريم uni06430647.liga.init.fina uni062C06BE.liga.init.medi كuni062A0627.isolب ني شان ما خدا تعالى فرماوے ؛
كه :	uni06430647.liga.init.fina :
لايمسّه الا المطهّرون	لايمسّه الا المطهّرون
كه اْ كتاب نسس كون هاتهـ لككاوي سكسسس،	uni06430647.liga.init.fina اْ كuni062A0627.isolب نے كون هاuni062A06BE0640.liga.init.medi لگاوي سكےس،
كون ثثرٌهي سكسسس،	كون پرٌuni0647064A.liga.medi.fina سكےس،
اهني معاني نسس كون سمجهي سكسسس كه جه سككلا ثثاك صاحبو ؛،	اهني معاني نے كون uni06330645.liga.medi.finauni062C06BE.liga.init.mediي سكےس uni06430647.liga.init.fina uni062C06BE.liga.init.medi سگلا پاك صاحبو ؛،
يه قران ني تلاوة كرينسس اثثنا جسم،	يه قران ني تلاوة كرينے اپuni06460627.isol جuni06330645.liga.medi.fina،
جان انسس فكر نسس صاف انسس ثثاك كرنار لوككو!	جان انے فكر نے صاف انے پاك كرuni06460627.isolر لوگو!
اْ صاحبوكون ؛	اْ صاحبوكون ؛
كه خمسة اطهار كه جه نسس خدا تعالى يه كساء التطهير اورٌهاوي ؛،	uni06430647.liga.init.fina خمسة اطهار uni06430647.liga.init.fina uni062C06BE.liga.init.medi نے خدا تعالى يه كساء التطuni0647064A.liga.medi.finaر اورٌهاوي ؛،
ثثاكيزككي ني ححادر اورٌهاوي ؛،	پاكيزگي ني چادر اورٌهاوي ؛،
رواية ما ؛	رواية ما ؛
تطهير ني ححادر	تطuni0647064A.liga.medi.finaر ني چادر
الدعشي سند لككاوي نسس كظظسس ؛،	الدعشي سند لگاوي نے كظظے ؛،
عبد الله بن عباس كظظسس ؛:	عبد االله بن عuni06280627.isolس كظظے ؛:
ميطط عائشة نا نزديك اْيو،	ميں عائشة uni06460627.isol نزديك اْيو،
ميطط كظظيو كه :	ميں كظuni0638064A.liga.init.finaو uni06430647.liga.init.fina :
اسس ام المؤمنين !	اے ام المؤمنين !
كـئي ححيز ما اْ اْية اُتري ؛:	كـئي چيز ما اْ اْية اُتري ؛:
"انما يريد الله ليذهب عنكم الرجل اهل البيت ويطهركم تطهيرا"،	"اuni064606450627.fina يريد االله ليذهب عنكم الرجل اهل البيت ويطهركم تطuni0647064A.liga.medi.finaرا"،
عائشة كظظسس ؛	عائشة كظظے ؛
كه:	uni06430647.liga.init.fina:
تميطط ام سلمة ثثاسسس جاؤ،	تميں ام سلمة پاےس جاؤ،
اهنسس ثثوححهو،	اهنے پوچهو،
كيم كه اهنا ككهر ما اْ اْية اُتري ؛،	كيم uni06430647.liga.init.fina اهuni06460627.isol گهر ما اْ اْية اُتري ؛،
ميطط ام سلمة ثثاس ككيو،	ميں ام سلمة پاس گيو،
انسس عرض كيدي كه ميطط عائشة ثثاسسس ككيو انسس اْ مثل سؤال كيدو،	انے عرض كيدي uni06430647.liga.init.fina ميں عائشة پاےس گيو انے اْ مثل سؤال كيدو،
تو اْثث نا ثثاس موكلا ؛،	تو اْپ uni06460627.isol پاس موuni064306440627.isol ؛،
ته وقت ام سلمة فرماوسس ؛	uni062A06BE.liga.init.medi وقت ام سلمة فرماوے ؛
هشيار !	هشيار !
عائشة اككر ححاهتي تو تمنسس خبر كرتي،	عائشة اگر چاهتي تو تمنے خبر كرتي،
اهنسس خبر ؛	اهنے خبر ؛
مككر ميطط تمنسس خبر اْثثوطط ححهوطط كه كـئي ححيز ما اْ اْية اُتري ؛،	مگر ميں تمنے خبر اْپوں چهوں uni06430647.liga.init.fina كـئي چيز ما اْ اْية اُتري ؛،
رسول الله مارا ككهر ما تشريف لايا،	رسول االله مارا گهر ما تشريف لايا،
منسس فرمايو كه:	منے فرمايو uni06430647.liga.init.fina:
يظظاطط كوئي هوئي تو اثثن اهنسس بُلاوا موكليئسس،	يظظاں كوئي هوئي تو اپن اهنے بُلاوا موكليئے،
علي فاطمة حسن حسين نسس جئي نسس بُلاوي لاوسس،	علي فاuni06370645.liga.init.mediة حسن حسين نے جئي نے بُلاوي لاوے،
ام سلمة كظظسس ؛	ام سلمة كظظے ؛
مارا سوى كوئي ككهر ما نظظيطط،	مارا سوى كوئي گهر ما نظuni0638064A.liga.init.finaں،
ميطط سككلا نسس بُلاوي لاوي،	ميں سگلا نے بُلاوي لاوي،
حسن نسس جمني طرف بيضضهايا،	حسن نے جمني طرف بيٹهايا،
حسين نسس دابي طرف،	حسين نے دابي طرف،
فاطمة نسس سامنسس بيضضهايا،	فاuni06370645.liga.init.mediة نے سامنے بيٹهايا،
انسس علي نسس اْثث نا ماتها نا نزديك بيضضهايا،	انے علي نے اْپ uni06460627.isol ماuni062A06BE.liga.init.mediا uni06460627.isol نزديك بيٹهايا،
ته بعد ايك خيبري كثثرٌو ليدو،	uni062A06BE.liga.init.medi بعد ايك uni062E064A.liga.init.finaبري كپرٌو ليدو،
كثثرٌو لئي نسس اْ ثثنجتن ثثر اورٌهاوي ليدو،	كپرٌو لئي نے اْ پنجتن پر اورٌهاوي ليدو،
اْ سككلا اْثث انسس اْ ححار صاحبو نسس،	اْ سگلا اْپ انے اْ چار صاحبو نے،
ته بعد اْثث فرماوسس ؛:	uni062A06BE.liga.init.medi بعد اْپ فرماوے ؛:
"اللهم هؤلاء عترتي واهل بيتي اليك"،	"االلهم هؤلاء عترتي واهل بيتي اليك"،
اسس ثثروردككار !	اے پروردگار !
اْ سككلا ماري عترة ؛،	اْ سگلا ماري عترة ؛،
مارا اهل بيت ؛،	مارا اهل بيت ؛،
تاري طرف دعوة كرسس ؛،	uni062A0627.isolري طرف دعوة كرے ؛،
اْكك طرف دعوة نتهي كرتا،	اْگ طرف دعوة نuni062A06BE.liga.init.mediي كرuni062A0627.isol،
"اللهم اذهب عنهم الرجس وطظظرهم تطظظيرا"،	"االلهم اذهب عuni064606BE.liga.init.mediم الرجس وطظظرuni06470645.liga.medi.fina تطظuni0638064A.liga.init.finaرا"،
يه سككلا سي ناثثاكي نسس دور كرجسس،	يه سگلا سي uni06460627.isolپاكي نے دور كرجے،
انسس ثثاك كرجسس،	انے پاك كرجے،
ام سلمة عرض كرسس ؛	ام سلمة عرض كرے ؛
ميطط كظظيو كه:	ميں كظuni0638064A.liga.init.finaو uni06430647.liga.init.fina:
اسس رسول الله !	اے رسول االله !
منسس يه سككلا ساتهسس داخل كري لو،	منے يه سگلا ساuni062A06BE.liga.init.mediے داخل كري لو،
رسول الله فرماوسس ؛	رسول االله فرماوے ؛
اْ ححادر ما كون داخل تهئي سكسس كه جه مارا تهكي هوئي،	اْ چادر ما كون داخل uni062A06BE.liga.init.mediئي سكے uni06430647.liga.init.fina uni062C06BE.liga.init.medi مارا uni062A06BE.liga.init.mediكي هوئي،
ميطط اهنا تهكي هؤطط،	ميں اهuni06460627.isol uni062A06BE.liga.init.mediكي هؤں،
"وانت من صالحات ازواجي وانت الى خير"،	"وانت من صالحات ازواuni062C064A.liga.init.fina وانت الى uni062E064A.liga.init.finaر"،
تميطط مارا ازواج نا صالحات تهكي ححهو انسس خير ني طرف ححهو،	تميں مارا ازواج uni06460627.isol صالحات uni062A06BE.liga.init.mediكي چهو انے uni062E064A.liga.init.finaر ني طرف چهو،
- 1404	- 1404
تو ثثنجتن ثثاك نسس ثثنجتن كظظواما اْوسس ؛	تو پنجتن پاك نے پنجتن كظظواما اْوے ؛
كيم كه يه سككلا ثثانحح صاحبو ؛	كيم uni06430647.liga.init.fina يه سگلا پانچ صاحبو ؛
جه هر طرح سي ثثاك ؛،	uni062C06BE.liga.init.medi هر طرح سي پاك ؛،
هر ناثثاكي سي،	هر uni06460627.isolپاكي سي،
ككندككي سي،	گندگي سي،
هر ككناه سي،	هر گuni06460627.isolه سي،
هر عيب سي انسس هر بدي سي ثثاك ؛،	هر uni0639064A.liga.init.finaب سي انے هر بدي سي پاك ؛،
اْ سككلا صاحبو نا ثثظظلا محمد رسول الله ؛	اْ سگلا صاحبو uni06460627.isol پظظلا محمد رسول االله ؛
كه جه مولى اسلام نو دين لئي نسس اْيا كه جه سات دعائم – تهامبلاؤ – ثثر قائم ؛،	uni06430647.liga.init.fina uni062C06BE.liga.init.medi مولى اسلام نو دين لئي نے اْيا uni06430647.liga.init.fina uni062C06BE.liga.init.medi سات دعائم – uni062A06BE.liga.init.mediامبلاؤ – پر قائم ؛،
كهرٌو ؛،	uni06430647.liga.init.finaرٌو ؛،
يه كيا كه ولاية،	يه كيا uni06430647.liga.init.fina ولاية،
طهارة،	طهارة،
صلوة،	صلوة،
زكوة،	زكوة،
صوم،	صوم،
حج انسس اْخري دعامة جظظاد نو ؛،	حج انے اْخري دعامة جظظاد نو ؛،
يه سات دعائم ني معرفة كرينسس انسس اهنا مطابق عمل كرينسس دين انسس دنيا ما سعادة نا حاصل كرنار لوككو،	يه سات دعائم ني معرفة كرينے انے اهuni06460627.isol مطابق عمل كرينے دين انے دنيا ما سعادة uni06460627.isol حاصل كرuni06460627.isolر لوگو،
اْثثنا وصي امين،	اْپuni06460627.isol وصي امين،
امير المؤمنين مولانا علي بن ابي طالب ؛	امير المؤمنين مولاuni06460627.isol علي بن ابي طالب ؛
كه جه مولى ايم فرماؤتا كه جو ميطط مؤمن نسس ديكهوطط كه يه كوئي نا مناسب عمل كرسس ؛	uni06430647.liga.init.fina uni062C06BE.liga.init.medi مولى ايم فرماؤuni062A0627.isol uni06430647.liga.init.fina جو ميں مؤمن نے ديuni06430647.liga.init.finaوں uni06430647.liga.init.fina يه كوئي uni06460627.isol مuni06460627.isolسب عمل كرے ؛
